Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	359963	360001	7.89	SeaLevel__00000m.raw	99.99	0.01	1	0
5	359968	360001	8.13	SeaLevel__00005m.raw	99.99	0.01	1	0
10	359968	360001	7.52	SeaLevel__00010m.raw	99.99	0.01	1	0
15	359968	360001	7.81	SeaLevel__00015m.raw	99.99	0.01	1	0
20	359968	360001	7.56	SeaLevel__00020m.raw	99.99	0.01	1	0
25	359968	360001	7.84	SeaLevel__00025m.raw	99.99	0.01	1	0
30	359969	360001	7.54	SeaLevel__00030m.raw	99.99	0.01	1	0
35	359970	360001	7.55	SeaLevel__00035m.raw	99.99	0.01	1	0
40	359970	360001	7.53	SeaLevel__00040m.raw	99.99	0.01	1	0
45	359970	360001	7.87	SeaLevel__00045m.raw	99.99	0.01	1	0
50	359972	360001	7.54	SeaLevel__00050m.raw	99.99	0.01	1	0
55	359972	360001	7.55	SeaLevel__00055m.raw	99.99	0.01	1	0
60	359972	360001	7.55	SeaLevel__00060m.raw	99.99	0.01	1	0
65	359972	360001	7.78	SeaLevel__00065m.raw	99.99	0.01	1	0
70	359973	360001	7.54	SeaLevel__00070m.raw	99.99	0.01	1	0
75	359973	360001	7.77	SeaLevel__00075m.raw	99.99	0.01	1	0
80	359973	360001	7.53	SeaLevel__00080m.raw	99.99	0.01	1	0
85	359973	360001	7.83	SeaLevel__00085m.raw	99.99	0.01	1	0
90	359973	360001	7.52	SeaLevel__00090m.raw	99.99	0.01	1	0
95	359974	360001	7.57	SeaLevel__00095m.raw	99.99	0.01	1	0
100	359974	360001	7.54	SeaLevel__00100m.raw	99.99	0.01	1	0
105	359975	360001	7.82	SeaLevel__00105m.raw	99.99	0.01	1	0
110	359975	360001	7.57	SeaLevel__00110m.raw	99.99	0.01	1	0
115	359975	360001	7.53	SeaLevel__00115m.raw	99.99	0.01	1	0
120	359975	360001	7.55	SeaLevel__00120m.raw	99.99	0.01	1	0
125	359975	360001	7.85	SeaLevel__00125m.raw	99.99	0.01	1	0
130	359975	360001	7.57	SeaLevel__00130m.raw	99.99	0.01	1	0
135	359975	360001	7.54	SeaLevel__00135m.raw	99.99	0.01	1	0
140	359975	360001	7.55	SeaLevel__00140m.raw	99.99	0.01	1	0
145	359975	360001	7.87	SeaLevel__00145m.raw	99.99	0.01	1	0
150	359976	360001	7.58	SeaLevel__00150m.raw	99.99	0.01	1	0
155	359976	360001	7.57	SeaLevel__00155m.raw	99.99	0.01	1	0
160	359976	360001	7.55	SeaLevel__00160m.raw	99.99	0.01	1	0
165	359978	360001	7.83	SeaLevel__00165m.raw	99.99	0.01	1	0
170	359978	360001	7.59	SeaLevel__00170m.raw	99.99	0.01	1	0
175	359978	360001	7.55	SeaLevel__00175m.raw	99.99	0.01	1	0
180	359978	360001	7.53	SeaLevel__00180m.raw	99.99	0.01	1	0
185	359978	360001	7.82	SeaLevel__00185m.raw	99.99	0.01	1	0
190	359978	360001	7.76	SeaLevel__00190m.raw	99.99	0.01	1	0
195	359978	360001	7.57	SeaLevel__00195m.raw	99.99	0.01	1	0
200	359978	360001	7.57	SeaLevel__00200m.raw	99.99	0.01	1	0
