Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	359925	360001	7.6	SeaLevel__00000m.raw	99.98	0.02	1	0
5	359929	360001	7.59	SeaLevel__00005m.raw	99.98	0.02	1	0
10	359930	360001	7.55	SeaLevel__00010m.raw	99.98	0.02	1	0
15	359934	360001	7.84	SeaLevel__00015m.raw	99.98	0.02	1	0
20	359935	360001	7.62	SeaLevel__00020m.raw	99.98	0.02	1	0
25	359937	360001	7.55	SeaLevel__00025m.raw	99.98	0.02	1	0
30	359938	360001	7.59	SeaLevel__00030m.raw	99.98	0.02	1	0
35	359939	360001	7.86	SeaLevel__00035m.raw	99.98	0.02	1	0
40	359941	360001	7.58	SeaLevel__00040m.raw	99.98	0.02	1	0
45	359943	360001	7.55	SeaLevel__00045m.raw	99.98	0.02	1	0
50	359947	360001	7.53	SeaLevel__00050m.raw	99.99	0.01	1	0
55	359950	360001	7.83	SeaLevel__00055m.raw	99.99	0.01	1	0
60	359951	360001	7.58	SeaLevel__00060m.raw	99.99	0.01	1	0
65	359951	360001	7.53	SeaLevel__00065m.raw	99.99	0.01	1	0
70	359953	360001	7.53	SeaLevel__00070m.raw	99.99	0.01	1	0
75	359957	360001	7.8	SeaLevel__00075m.raw	99.99	0.01	1	0
80	359958	360001	7.62	SeaLevel__00080m.raw	99.99	0.01	1	0
85	359961	360001	7.53	SeaLevel__00085m.raw	99.99	0.01	1	0
90	359963	360001	7.55	SeaLevel__00090m.raw	99.99	0.01	1	0
95	359967	360001	7.8	SeaLevel__00095m.raw	99.99	0.01	1	0
100	359970	360001	7.7	SeaLevel__00100m.raw	99.99	0.01	1	0
105	359973	360001	7.55	SeaLevel__00105m.raw	99.99	0.01	1	0
110	359976	360001	7.55	SeaLevel__00110m.raw	99.99	0.01	1	0
115	359979	360001	7.96	SeaLevel__00115m.raw	99.99	0.01	1	0
120	359981	360001	7.54	SeaLevel__00120m.raw	99.99	0.01	1	0
125	359982	360001	7.53	SeaLevel__00125m.raw	99.99	0.01	1	0
130	359983	360001	7.61	SeaLevel__00130m.raw	100.00	0.00	1	0
135	359984	360001	7.85	SeaLevel__00135m.raw	100.00	0.00	1	0
140	359985	360001	7.58	SeaLevel__00140m.raw	100.00	0.00	1	0
145	359986	360001	7.57	SeaLevel__00145m.raw	100.00	0.00	1	0
150	359989	360001	7.57	SeaLevel__00150m.raw	100.00	0.00	1	0
155	359989	360001	7.96	SeaLevel__00155m.raw	100.00	0.00	1	0
160	359990	360001	7.54	SeaLevel__00160m.raw	100.00	0.00	1	0
165	359991	360001	7.58	SeaLevel__00165m.raw	100.00	0.00	1	0
170	359994	360001	7.54	SeaLevel__00170m.raw	100.00	0.00	1	0
175	359994	360001	7.8	SeaLevel__00175m.raw	100.00	0.00	1	0
180	359994	360001	7.57	SeaLevel__00180m.raw	100.00	0.00	1	0
185	359994	360001	7.57	SeaLevel__00185m.raw	100.00	0.00	1	0
190	359994	360001	7.56	SeaLevel__00190m.raw	100.00	0.00	1	0
195	359994	360001	7.86	SeaLevel__00195m.raw	100.00	0.00	1	0
200	359994	360001	7.56	SeaLevel__00200m.raw	100.00	0.00	1	0
