Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	359672	360001	7.75	SeaLevel__00000m.raw	99.91	0.09	1	0
5	359713	360001	7.52	SeaLevel__00005m.raw	99.92	0.08	1	0
10	359729	360001	7.8	SeaLevel__00010m.raw	99.92	0.08	1	0
15	359744	360001	7.81	SeaLevel__00015m.raw	99.93	0.07	1	0
20	359750	360001	7.53	SeaLevel__00020m.raw	99.93	0.07	1	0
25	359759	360001	7.57	SeaLevel__00025m.raw	99.93	0.07	1	0
30	359770	360001	7.55	SeaLevel__00030m.raw	99.94	0.06	1	0
35	359785	360001	7.86	SeaLevel__00035m.raw	99.94	0.06	1	0
40	359793	360001	7.55	SeaLevel__00040m.raw	99.94	0.06	1	0
45	359802	360001	7.56	SeaLevel__00045m.raw	99.94	0.06	1	0
50	359804	360001	7.56	SeaLevel__00050m.raw	99.95	0.05	1	0
55	359811	360001	7.84	SeaLevel__00055m.raw	99.95	0.05	1	0
60	359813	360001	7.53	SeaLevel__00060m.raw	99.95	0.05	1	0
65	359819	360001	7.57	SeaLevel__00065m.raw	99.95	0.05	1	0
70	359820	360001	7.56	SeaLevel__00070m.raw	99.95	0.05	1	0
75	359826	360001	7.82	SeaLevel__00075m.raw	99.95	0.05	1	0
80	359828	360001	7.52	SeaLevel__00080m.raw	99.95	0.05	1	0
85	359830	360001	7.63	SeaLevel__00085m.raw	99.95	0.05	1	0
90	359833	360001	7.55	SeaLevel__00090m.raw	99.95	0.05	1	0
95	359836	360001	7.84	SeaLevel__00095m.raw	99.95	0.05	1	0
100	359836	360001	7.51	SeaLevel__00100m.raw	99.95	0.05	1	0
105	359841	360001	7.52	SeaLevel__00105m.raw	99.96	0.04	1	0
110	359841	360001	7.52	SeaLevel__00110m.raw	99.96	0.04	1	0
115	359843	360001	7.92	SeaLevel__00115m.raw	99.96	0.04	1	0
120	359843	360001	7.58	SeaLevel__00120m.raw	99.96	0.04	1	0
125	359846	360001	7.54	SeaLevel__00125m.raw	99.96	0.04	1	0
130	359848	360001	7.54	SeaLevel__00130m.raw	99.96	0.04	1	0
135	359851	360001	7.86	SeaLevel__00135m.raw	99.96	0.04	1	0
140	359853	360001	7.55	SeaLevel__00140m.raw	99.96	0.04	1	0
145	359855	360001	7.54	SeaLevel__00145m.raw	99.96	0.04	1	0
150	359855	360001	7.52	SeaLevel__00150m.raw	99.96	0.04	1	0
155	359858	360001	7.89	SeaLevel__00155m.raw	99.96	0.04	1	0
160	359860	360001	7.56	SeaLevel__00160m.raw	99.96	0.04	1	0
165	359861	360001	7.55	SeaLevel__00165m.raw	99.96	0.04	1	0
170	359861	360001	7.57	SeaLevel__00170m.raw	99.96	0.04	1	0
175	359862	360001	7.79	SeaLevel__00175m.raw	99.96	0.04	1	0
180	359863	360001	7.68	SeaLevel__00180m.raw	99.96	0.04	1	0
185	359864	360001	7.56	SeaLevel__00185m.raw	99.96	0.04	1	0
190	359866	360001	7.54	SeaLevel__00190m.raw	99.96	0.04	1	0
195	359867	360001	7.91	SeaLevel__00195m.raw	99.96	0.04	1	0
200	359868	360001	7.55	SeaLevel__00200m.raw	99.96	0.04	1	0
