Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
250	359808	360001	7.84	SeaLevel__00250m.raw	99.95	0.05	1	0
500	359983	360001	8.01	SeaLevel__00500m.raw	100.00	0.00	1	0
750	360001	360001	7.99	SeaLevel__00750m.raw	100.00	0.00	1	0
1000	360001	360001	8.72	SeaLevel__01000m.raw	100.00	0.00	1	0
1250	360001	360001	7.9	SeaLevel__01250m.raw	100.00	0.00	1	0
1500	360001	360001	8.08	SeaLevel__01500m.raw	100.00	0.00	1	0
1750	360001	360001	8.71	SeaLevel__01750m.raw	100.00	0.00	1	0
2000	360001	360001	8.66	SeaLevel__02000m.raw	100.00	0.00	1	0
2250	360001	360001	8.38	SeaLevel__02250m.raw	100.00	0.00	1	0
2500	360001	360001	7.73	SeaLevel__02500m.raw	100.00	0.00	1	0
2750	360001	360001	8.11	SeaLevel__02750m.raw	100.00	0.00	1	0
3000	360001	360001	7.69	SeaLevel__03000m.raw	100.00	0.00	1	0
